ID,NIK,NISN,Name,Gender,BirthDate,BirthRegency,Religion,PhoneNumber,Email,Photo,Address,Nationality,Province,Regency,Subdistrict,PostalCode,School,SchoolMajor,GraduationYear,Admission,Major1,Major2,Score,PassedMajorID,Timestamp
SBMPTN20210001,3311120411870003,212350187,Charmain Baythrop,Perempuan,2002-08-04 00:00:00,KAB. MELAWI,Islam,436-249-0445,cbaythrop8c@netlog.com,https://google.com,Jalan Nasional Nomor 1,Indonesia,JAWA TIMUR,KAB. LUMAJANG,JATIROTO,12345,SMAN 262,IPA,2020,SBMPTN,10,13,576,10,2021-07-10 00:00:00
SBMPTN20210002,3311120411870003,212350188,Cybill Whibley,Laki-Laki,2005-08-04 00:00:00,KOTA PASURUAN,Katolik,392-800-0395,cwhibley8d@icio.us,https://google.com,Jalan Nasional Nomor 1,Indonesia,JAWA TIMUR,KAB. MOJOKERTO,GEDEG,12345,SMAN 214,IPA,2021,SBMPTN,13,3,670,13,2021-07-10 00:00:00
SBMPTN20210003,3311120411870003,212350189,Lucienne Moreby,Laki-Laki,2005-05-05 00:00:00,KAB. MANGGARAI BARAT,Hindu,241-601-5267,lmoreby8e@amazonaws.com,https://google.com,Jalan Nasional Nomor 1,Indonesia,KALIMANTAN BARAT,KAB. KAPUAS HULU,SILAT HILIR,12345,SMAN 217,IPA,2020,SBMPTN,12,8,796,12,2021-07-10 00:00:00
SBMPTN20210004,3311120411870003,212350190,Astra Frostick,Perempuan,2004-08-12 00:00:00,KAB. BEKASI,Hindu,797-778-8830,afrostick8f@illinois.edu,https://google.com,Jalan Nasional Nomor 1,Indonesia,SULAWESI TENGGARA,KAB. KONAWE,ANGGALOMOARE,12345,SMAN 330,IPA,2022,SBMPTN,7,3,694,7,2021-07-10 00:00:00
SBMPTN20210005,3311120411870003,212350191,Martyn Hundal,Laki-Laki,2002-09-03 00:00:00,KAB. KOTABARU,Konghucu,341-196-6556,mhundal8g@intel.com,https://google.com,Jalan Nasional Nomor 1,Indonesia,SUMATERA BARAT,KOTA SAWAHLUNTO,LEMBAH SEGAR,12345,SMAN 168,IPA,2020,SBMPTN,24,29,697,24,2021-07-10 00:00:00
SBMPTN20210006,3311120411870003,212350192,Othella Rowena,Laki-Laki,2003-07-19 00:00:00,KAB. BONE BOLANGO,Buddha,628-348-7630,orowena8h@shutterfly.com,https://google.com,Jalan Nasional Nomor 1,Indonesia,JAWA BARAT,KAB. MAJALENGKA,MAJA,12345,SMAN 454,IPS,2021,SBMPTN,29,5,688,29,2021-07-10 00:00:00
SBMPTN20210007,3311120411870003,212350193,Anestassia Shorbrook,Perempuan,2004-01-22 00:00:00,KAB. BOVEN DIGOEL,Kristen,327-771-9006,ashorbrook8i@linkedin.com,https://google.com,Jalan Nasional Nomor 1,Indonesia,SUMATERA UTARA,KAB. SERDANG BEDAGAI,SEI RAMPAH,12345,SMAN 261,BAHASA,2022,SBMPTN,26,18,487,26,2021-07-10 00:00:00
SBMPTN20210008,3311120411870003,212350194,Cissy Shellum,Laki-Laki,2003-06-02 00:00:00,KAB. OGAN KOMERING ILIR,Buddha,709-799-0451,cshellum8j@ow.ly,https://google.com,Jalan Nasional Nomor 1,Indonesia,PAPUA,KAB. TOLIKARA,TAGIME,12345,SMAN 299,IPA,2022,SBMPTN,6,12,715,6,2021-07-10 00:00:00
SBMPTN20210009,3311120411870003,212350195,Kassey Pelerin,Laki-Laki,2002-05-08 00:00:00,KAB. SUMBA TENGAH,Hindu,571-701-4211,kpelerin8k@blogspot.com,https://google.com,Jalan Nasional Nomor 1,Indonesia,SUMATERA UTARA,KAB. LANGKAT,WAMPU,12345,SMAN 258,IPA,2021,SBMPTN,4,8,665,4,2021-07-10 00:00:00
SBMPTN20210010,3311120411870003,212350196,Mendel O'Haire,Laki-Laki,2002-03-23 00:00:00,KAB. PADANG PARIAMAN,Buddha,674-276-3940,mohaire8l@creativecommons.org,https://google.com,Jalan Nasional Nomor 1,Indonesia,SUMATERA UTARA,KAB. KARO,KABANJAHE,12345,SMAN 381,IPA,2022,SBMPTN,14,21,634,14,2021-07-10 00:00:00
SBMPTN20210011,3311120411870003,212350197,Stacee Lunk,Laki-Laki,2003-11-16 00:00:00,KAB. PRINGSEWU,Konghucu,903-438-4987,slunk8m@tinyurl.com,https://google.com,Jalan Nasional Nomor 1,Indonesia,JAWA BARAT,KOTA DEPOK,CINERE,12345,SMAN 150,IPA,2021,SBMPTN,19,32,787,,2021-07-10 00:00:00
SBMPTN20210012,3311120411870003,212350198,Calv Matsell,Perempuan,2005-01-07 00:00:00,KAB. KEPAHIANG,Hindu,190-625-6823,cmatsell8n@slate.com,https://google.com,Jalan Nasional Nomor 1,Indonesia,BANTEN,KAB. LEBAK,CURUG BITUNG,12345,SMAN 35,IPA,2020,SBMPTN,20,12,615,20,2021-07-10 00:00:00
SBMPTN20210013,3311120411870003,212350199,Gerrie Boyn,Perempuan,2003-09-26 00:00:00,KAB. LEMBATA,Hindu,874-946-2703,gboyn8o@bloglovin.com,https://google.com,Jalan Nasional Nomor 1,Indonesia,PAPUA,KAB. WAROPEN,UREI FAISEI,12345,SMAN 60,IPA,2021,SBMPTN,4,26,641,4,2021-07-10 00:00:00
SBMPTN20210014,3311120411870003,212350200,Zeb Purches,Laki-Laki,2002-04-04 00:00:00,KAB. BLITAR,Katolik,646-333-9575,zpurches8p@nymag.com,https://google.com,Jalan Nasional Nomor 1,Indonesia,SULAWESI SELATAN,KAB. MAROS,CENRANA,12345,SMAN 284,IPA,2021,SBMPTN,4,6,713,4,2021-07-10 00:00:00
SBMPTN20210015,3311120411870003,212350201,Diannne Barthot,Laki-Laki,2004-02-06 00:00:00,KAB. BIREUEN,Kristen,438-589-0499,dbarthot8q@scribd.com,https://google.com,Jalan Nasional Nomor 1,Indonesia,MALUKU,KAB. SERAM BAGIAN BARAT,HUAMUAL,12345,SMAN 44,IPA,2021,SBMPTN,23,6,775,23,2021-07-10 00:00:00
SBMPTN20210016,3311120411870003,212350202,Nikolaos Shaplin,Laki-Laki,2003-04-11 00:00:00,KAB. BARITO UTARA,Konghucu,684-826-5150,nshaplin8r@jimdo.com,https://google.com,Jalan Nasional Nomor 1,Indonesia,JAWA TENGAH,KAB. CILACAP,MAJENANG,12345,SMAN 89,IPA,2021,SBMPTN,30,4,474,30,2021-07-10 00:00:00
SBMPTN20210017,3311120411870003,212350203,Dorella Ingleston,Laki-Laki,2003-03-10 00:00:00,KAB. TANGGAMUS,Islam,998-918-8544,dingleston8s@so-net.ne.jp,https://google.com,Jalan Nasional Nomor 1,Indonesia,JAWA TENGAH,KAB. PURBALINGGA,REMBANG,12345,SMAN 259,IPA,2020,SBMPTN,30,1,696,30,2021-07-10 00:00:00
SBMPTN20210018,3311120411870003,212350204,Cathleen Keattch,Perempuan,2003-04-13 00:00:00,KAB. PEKALONGAN,Hindu,160-180-3676,ckeattch8t@discovery.com,https://google.com,Jalan Nasional Nomor 1,Indonesia,MALUKU,KAB. KEPULAUAN ARU,ARU SELATAN TIMUR,12345,SMAN 409,IPA,2021,SBMPTN,22,21,791,22,2021-07-10 00:00:00
SBMPTN20210019,3311120411870003,212350205,Nevile Cordel,Perempuan,2005-06-07 00:00:00,KAB. TANJUNG JABUNG TIMUR,Kristen,838-708-8751,ncordel8u@ovh.net,https://google.com,Jalan Nasional Nomor 1,Indonesia,SUMATERA UTARA,KAB. TAPANULI SELATAN,ANGKOLA SELATAN,12345,SMAN 14,IPA,2022,SBMPTN,7,11,486,7,2021-07-10 00:00:00
