ID	Status	Name	Job	Income	Address	PhoneNumber	ApplicantID
1	Ayah	Nama Ayah	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	SBMPTN20210001
2	Ibu	Nama Ibu	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	SBMPTN20210001
3	Ayah	Nama Ayah	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	SBMPTN20210002
4	Ibu	Nama Ibu	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	SBMPTN20210002
5	Ayah	Nama Ayah	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	SBMPTN20210003
6	Ibu	Nama Ibu	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	SBMPTN20210003
7	Ayah	Nama Ayah	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	SBMPTN20210004
8	Ibu	Nama Ibu	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	SBMPTN20210004
9	Ayah	Nama Ayah	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	SBMPTN20210005
10	Ibu	Nama Ibu	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	SBMPTN20210005
11	Ayah	Nama Ayah	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	SBMPTN20210006
12	Ibu	Nama Ibu	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	SBMPTN20210006
13	Ayah	Nama Ayah	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	SBMPTN20210007
14	Ibu	Nama Ibu	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	SBMPTN20210007
15	Ayah	Nama Ayah	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	SBMPTN20210008
16	Ibu	Nama Ibu	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	SBMPTN20210008
17	Ayah	Nama Ayah	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	SBMPTN20210009
18	Ibu	Nama Ibu	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	SBMPTN20210009
19	Ayah	Nama Ayah	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	SBMPTN20210012
20	Ibu	Nama Ibu	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	SBMPTN20210012
21	Ayah	Nama Ayah	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	SBMPTN20210013
22	Ibu	Nama Ibu	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	SBMPTN20210013
23	Ayah	Nama Ayah	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	SBMPTN20210014
24	Ibu	Nama Ibu	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	SBMPTN20210014
25	Ayah	Nama Ayah	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	SBMPTN20210015
26	Ibu	Nama Ibu	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	SBMPTN20210015
27	Ayah	Nama Ayah	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	SBMPTN20210017
28	Ibu	Nama Ibu	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	SBMPTN20210017
29	Ayah	Nama Ayah	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	SBMPTN20210018
30	Ibu	Nama Ibu	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	SBMPTN20210018
31	Ayah	Nama Ayah	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	SBMPTN20210019
32	Ibu	Nama Ibu	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	SBMPTN20210019
33	Ayah	Nama Ayah	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	SBMPTN20210020
34	Ibu	Nama Ibu	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	SBMPTN20210020
35	Ayah	Nama Ayah	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	SBMPTN20210021
36	Ibu	Nama Ibu	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	SBMPTN20210021
37	Ayah	Nama Ayah	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	SBMPTN20210022
38	Ibu	Nama Ibu	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	SBMPTN20210022
39	Ayah	Nama Ayah	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	SBMPTN20210023
40	Ibu	Nama Ibu	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	SBMPTN20210023
41	Ayah	Nama Ayah	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	SBMPTN20210024
42	Ibu	Nama Ibu	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	SBMPTN20210024
43	Ayah	Nama Ayah	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	SBMPTN20210026
44	Ibu	Nama Ibu	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	SBMPTN20210026
45	Ayah	Nama Ayah	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	SBMPTN20210027
46	Ibu	Nama Ibu	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	SBMPTN20210027
47	Ayah	Nama Ayah	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	SBMPTN20210028
48	Ibu	Nama Ibu	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	SBMPTN20210028
49	Ayah	Nama Ayah	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	SBMPTN20210029
50	Ibu	Nama Ibu	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	SBMPTN20210029
51	Ayah	Nama Ayah	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	SBMPTN20210030
52	Ibu	Nama Ibu	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	SBMPTN20210030
53	Ayah	Nama Ayah	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	SBMPTN20210031
54	Ibu	Nama Ibu	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	SBMPTN20210031
55	Ayah	Nama Ayah	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	SBMPTN20210032
56	Ibu	Nama Ibu	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	SBMPTN20210032
57	Ayah	Nama Ayah	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	SBMPTN20210033
58	Ibu	Nama Ibu	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	SBMPTN20210033
59	Ayah	Nama Ayah	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	SBMPTN20210034
60	Ibu	Nama Ibu	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	SBMPTN20210034
61	Ayah	Nama Ayah	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	SBMPTN20210035
62	Ibu	Nama Ibu	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	SBMPTN20210035
63	Ayah	Nama Ayah	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	SBMPTN20210036
64	Ibu	Nama Ibu	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	SBMPTN20210036
65	Ayah	Nama Ayah	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	SBMPTN20210037
66	Ibu	Nama Ibu	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	SBMPTN20210037
67	Ayah	Nama Ayah	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	SBMPTN20210038
68	Ibu	Nama Ibu	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	SBMPTN20210038
69	Ayah	Nama Ayah	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	SBMPTN20210040
70	Ibu	Nama Ibu	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	SBMPTN20210040
71	Ayah	Nama Ayah	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	SBMPTN20210041
72	Ibu	Nama Ibu	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	SBMPTN20210041
73	Ayah	Nama Ayah	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	SBMPTN20210042
74	Ibu	Nama Ibu	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	SBMPTN20210042
75	Ayah	Nama Ayah	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	SBMPTN20210044
76	Ibu	Nama Ibu	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	SBMPTN20210044
77	Ayah	Nama Ayah	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	SBMPTN20210045
78	Ibu	Nama Ibu	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	SBMPTN20210045
79	Ayah	Nama Ayah	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	SBMPTN20210046
80	Ibu	Nama Ibu	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	SBMPTN20210046
