ID	Name	MajorID	AdmissionID	PartnerID	SchoolID	ModifiedDate
MANDIRI20210001	Ddene Pigden	32	4		169	2021-07-10
MANDIRI20210002	Shaw Marle	1	2		15	2021-07-10
MANDIRI20210003	Livia Illsley	1	2		288	2021-07-10
MANDIRI20210004	Blakelee Wong	3	2		41	2021-07-10
MANDIRI20210005	Midge Kendrick	32	1	56	506	2021-07-10
MANDIRI20210006	Phyllis Fante	31	2		468	2021-07-10
MANDIRI20210007	Paulie Desantis	11	4		370	2021-07-10
MANDIRI20210008	Nanon Conigsby	18	2		178	2021-07-10
MANDIRI20210009	Nil Guerreru	19	4		257	2021-07-10
MANDIRI20210010	Odette Friatt	7	2		91	2021-07-10
MANDIRI20210011	Melisa Veevers	16	2		142	2021-07-10
MANDIRI20210012	Thorny Callender	15	4		95	2021-07-10
MANDIRI20210013	Traver Burdin	30	2		446	2021-07-10
MANDIRI20210014	Neille Whyborn	12	4		482	2021-07-10
MANDIRI20210015	Tabatha Fraulo	9	2		284	2021-07-10
MANDIRI20210016	Talia Bault	13	2		103	2021-07-10
MANDIRI20210018	Saidee Bradd	15	2		232	2021-07-10
MANDIRI20210019	Anthiathia McClune	31	4		162	2021-07-10
MANDIRI20210020	Faustina Larner	24	3		123	2021-07-10
MANDIRI20210021	Eleanora Golling	32	3		80	2021-07-10
MANDIRI20210022	Donnajean Burgoin	22	1	53	394	2021-07-10
MANDIRI20210023	Matthias Castagnet	22	2		389	2021-07-10
MANDIRI20210024	Albie Baynon	28	2		219	2021-07-10
MANDIRI20210025	Sorcha Brason	29	1	48	33	2021-07-10
MANDIRI20210026	Shelley Brickett	4	2		177	2021-07-10
MANDIRI20210027	Nonie Moroney	15	3		489	2021-07-10
MANDIRI20210029	Barrett Rawstron	19	3		442	2021-07-10
MANDIRI20210030	Derick Vaudrey	22	2		75	2021-07-10
MANDIRI20210031	Bayard Dunsmore	23	3		443	2021-07-10
MANDIRI20210032	Renado Moreing	7	2		110	2021-07-10
MANDIRI20210033	Elwood Marvell	19	2		172	2021-07-10
MANDIRI20210034	Stacy Hatton	23	2		343	2021-07-10
MANDIRI20210035	Angelina Bensley	32	3		158	2021-07-10
MANDIRI20210036	Letitia Stothert	29	2		31	2021-07-10
MANDIRI20210037	Goldy Bayle	5	3		137	2021-07-10
MANDIRI20210040	Ian Farrears	24	2		164	2021-07-10
MANDIRI20210042	Winfield Steere	2	2		187	2021-07-10
MANDIRI20210044	Gilberta Hardson	17	2		34	2021-07-10
MANDIRI20210045	Gaspar Albrecht	23	3		110	2021-07-10
MANDIRI20210046	Antonetta McClunaghan	16	2		470	2021-07-10
MANDIRI20210047	Kanya Blitz	30	2		475	2021-07-10
MANDIRI20210049	Wilhelmine McCaughran	4	2		125	2021-07-10
