ID	Status	Name	Job	Income	Address	PhoneNumber	ApplicantID
1	Ayah	Nama Ayah	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	MANDIRI20210001
2	Ibu	Nama Ibu	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	MANDIRI20210001
3	Ayah	Nama Ayah	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	MANDIRI20210002
4	Ibu	Nama Ibu	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	MANDIRI20210002
5	Ayah	Nama Ayah	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	MANDIRI20210003
6	Ibu	Nama Ibu	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	MANDIRI20210003
7	Ayah	Nama Ayah	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	MANDIRI20210004
8	Ibu	Nama Ibu	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	MANDIRI20210004
9	Ayah	Nama Ayah	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	MANDIRI20210005
10	Ibu	Nama Ibu	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	MANDIRI20210005
11	Ayah	Nama Ayah	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	MANDIRI20210006
12	Ibu	Nama Ibu	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	MANDIRI20210006
13	Ayah	Nama Ayah	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	MANDIRI20210007
14	Ibu	Nama Ibu	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	MANDIRI20210007
15	Ayah	Nama Ayah	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	MANDIRI20210008
16	Ibu	Nama Ibu	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	MANDIRI20210008
17	Ayah	Nama Ayah	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	MANDIRI20210009
18	Ibu	Nama Ibu	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	MANDIRI20210009
19	Ayah	Nama Ayah	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	MANDIRI20210010
20	Ibu	Nama Ibu	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	MANDIRI20210010
21	Ayah	Nama Ayah	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	MANDIRI20210011
22	Ibu	Nama Ibu	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	MANDIRI20210011
23	Ayah	Nama Ayah	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	MANDIRI20210012
24	Ibu	Nama Ibu	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	MANDIRI20210012
25	Ayah	Nama Ayah	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	MANDIRI20210013
26	Ibu	Nama Ibu	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	MANDIRI20210013
27	Ayah	Nama Ayah	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	MANDIRI20210014
28	Ibu	Nama Ibu	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	MANDIRI20210014
29	Ayah	Nama Ayah	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	MANDIRI20210015
30	Ibu	Nama Ibu	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	MANDIRI20210015
31	Ayah	Nama Ayah	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	MANDIRI20210016
32	Ibu	Nama Ibu	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	MANDIRI20210016
33	Ayah	Nama Ayah	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	MANDIRI20210017
34	Ibu	Nama Ibu	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	MANDIRI20210017
35	Ayah	Nama Ayah	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	MANDIRI20210018
36	Ibu	Nama Ibu	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	MANDIRI20210018
37	Ayah	Nama Ayah	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	MANDIRI20210019
38	Ibu	Nama Ibu	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	MANDIRI20210019
39	Ayah	Nama Ayah	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	MANDIRI20210020
40	Ibu	Nama Ibu	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	MANDIRI20210020
41	Ayah	Nama Ayah	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	MANDIRI20210021
42	Ibu	Nama Ibu	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	MANDIRI20210021
43	Ayah	Nama Ayah	Pekerja	10000000	Jalan Nasional Nomor 1	157-864-9000	MANDIRI20210022
